"date","userType","users","sessions","pageviews","sessionDuration","bounces","X3pg","Buypg","SocialShare","RCA","viewName"
2015-11-24,"Returning Visitor",44258,51120,87931,7479742,10498,7876,3243,0,202,"01 NFS Main"
2015-11-25,"New Visitor",84177,84177,149793,7916889,23960,14335,10022,0,636,"01 NFS Main"
2015-11-25,"Returning Visitor",48504,57342,99195,7752130,12706,8900,3346,0,233,"01 NFS Main"
2015-11-26,"New Visitor",80055,80055,144844,6609300,26199,13208,11020,0,734,"01 NFS Main"
2015-11-26,"Returning Visitor",37121,44232,77242,5079702,12536,6987,3739,0,321,"01 NFS Main"
2015-11-27,"New Visitor",70436,70436,135002,5513080,20241,14035,11646,0,1179,"01 NFS Main"
2015-11-27,"Returning Visitor",27104,32058,63475,3680763,9686,6299,3904,0,491,"01 NFS Main"
2015-11-28,"New Visitor",80789,80789,155362,6412415,23618,15892,11801,0,1200,"01 NFS Main"
2015-11-28,"Returning Visitor",27057,32374,64240,3460509,9159,6330,4096,0,414,"01 NFS Main"
2015-11-29,"New Visitor",75561,75561,143277,5819000,21508,14832,11672,0,1117,"01 NFS Main"
2015-11-29,"Returning Visitor",26287,31257,65528,3610069,8455,6837,4122,0,440,"01 NFS Main"
2015-11-30,"New Visitor",63258,63258,120584,5093578,19750,12582,11351,0,1127,"01 NFS Main"
2015-11-30,"Returning Visitor",21508,25718,53127,3162951,7731,5399,3558,0,336,"01 NFS Main"
2015-12-01,"New Visitor",70451,70451,129820,5177573,25816,12608,14620,0,921,"01 NFS Main"
2015-12-01,"Returning Visitor",21472,25237,54342,2986742,7509,5616,3842,0,300,"01 NFS Main"
2015-12-02,"New Visitor",63377,63377,117512,4614417,23391,11662,12055,0,843,"01 NFS Main"
2015-12-02,"Returning Visitor",21570,25589,51974,2780259,8621,5208,3791,0,290,"01 NFS Main"
2015-12-03,"New Visitor",63056,63056,120475,4832809,21591,12143,11677,0,729,"01 NFS Main"
2015-12-03,"Returning Visitor",20862,24782,49884,2523721,8378,5068,3615,0,300,"01 NFS Main"
2015-12-04,"New Visitor",62772,62772,118117,4686704,22625,11843,13234,0,760,"01 NFS Main"
2015-12-04,"Returning Visitor",20174,24011,47376,2382239,8171,4965,3687,0,274,"01 NFS Main"
2015-12-05,"New Visitor",79346,79346,144647,5582585,30290,14532,14796,0,807,"01 NFS Main"
2015-12-05,"Returning Visitor",22967,27337,55278,2901862,9288,5952,3951,0,248,"01 NFS Main"
2015-11-01,"New Visitor",2861,2861,4475,213082,579,347,383,4,38,"01 MEdge Main"
2015-11-01,"Returning Visitor",656,800,1333,72370,182,122,120,1,14,"01 MEdge Main"
2015-11-02,"New Visitor",2691,2691,4334,239535,541,360,371,1,30,"01 MEdge Main"
2015-11-02,"Returning Visitor",692,836,1478,100300,173,137,116,0,16,"01 MEdge Main"
2015-11-03,"New Visitor",2606,2606,4091,205160,610,318,329,4,33,"01 MEdge Main"
2015-11-03,"Returning Visitor",865,1044,1787,140359,205,162,106,1,12,"01 MEdge Main"
2015-11-04,"New Visitor",2696,2696,4098,215935,650,299,327,2,27,"01 MEdge Main"
2015-11-04,"Returning Visitor",703,848,1379,113293,192,145,98,1,8,"01 MEdge Main"
2015-11-05,"New Visitor",2133,2133,3394,167400,513,282,314,3,29,"01 MEdge Main"
2015-11-05,"Returning Visitor",495,634,1058,68194,188,113,98,0,13,"01 MEdge Main"
2015-11-06,"New Visitor",2251,2251,3591,179431,408,313,383,2,34,"01 MEdge Main"
2015-11-06,"Returning Visitor",498,619,1065,59389,175,104,92,1,9,"01 MEdge Main"
2015-11-07,"New Visitor",2492,2492,4058,196842,428,337,427,1,37,"01 MEdge Main"
2015-11-07,"Returning Visitor",573,709,1200,76563,183,100,127,0,10,"01 MEdge Main"
2015-11-08,"New Visitor",2383,2383,3972,212975,436,362,415,5,37,"01 MEdge Main"
2015-11-08,"Returning Visitor",569,683,1230,63961,171,126,117,1,18,"01 MEdge Main"
2015-11-09,"New Visitor",1911,1911,3331,165274,334,298,315,6,29,"01 MEdge Main"
2015-11-09,"Returning Visitor",395,482,875,52399,134,88,86,0,9,"01 MEdge Main"
2015-11-10,"New Visitor",2010,2010,3414,164743,386,318,352,0,24,"01 MEdge Main"
2015-11-10,"Returning Visitor",416,539,1034,61115,160,108,104,0,10,"01 MEdge Main"
2015-11-11,"New Visitor",1956,1956,3434,167813,368,334,360,1,30,"01 MEdge Main"
2015-11-11,"Returning Visitor",408,510,1021,62215,135,103,102,0,14,"01 MEdge Main"
2015-11-12,"New Visitor",1875,1875,3093,151700,348,267,322,3,36,"01 MEdge Main"
2015-11-12,"Returning Visitor",447,545,915,52590,151,81,91,1,10,"01 MEdge Main"
2015-11-13,"New Visitor",1995,1995,3454,163541,378,324,379,4,36,"01 MEdge Main"
2015-11-13,"Returning Visitor",444,547,987,64513,173,88,97,0,12,"01 MEdge Main"
2015-11-14,"New Visitor",2495,2495,4238,229086,449,392,418,4,30,"01 MEdge Main"
2015-11-14,"Returning Visitor",718,853,1518,116136,171,149,113,0,14,"01 MEdge Main"
2015-11-15,"New Visitor",2538,2538,4398,248532,423,407,418,4,43,"01 MEdge Main"
2015-11-15,"Returning Visitor",680,852,1531,112357,178,156,146,1,14,"01 MEdge Main"
2015-11-16,"New Visitor",1952,1952,3313,174727,346,285,312,2,45,"01 MEdge Main"
2015-11-16,"Returning Visitor",490,636,1167,68274,183,105,122,2,18,"01 MEdge Main"
2015-11-17,"New Visitor",2356,2356,3800,197966,410,331,347,3,26,"01 MEdge Main"
2015-11-17,"Returning Visitor",584,729,1205,92794,172,111,96,1,15,"01 MEdge Main"
2015-11-18,"New Visitor",2168,2168,3661,189457,373,321,326,0,41,"01 MEdge Main"
2015-11-18,"Returning Visitor",562,703,1117,77129,219,98,85,0,4,"01 MEdge Main"
2015-11-19,"New Visitor",2016,2016,3469,170935,345,351,364,1,43,"01 MEdge Main"
2015-11-19,"Returning Visitor",456,583,1093,75658,157,114,116,0,16,"01 MEdge Main"
2015-11-20,"New Visitor",1956,1956,3246,176326,386,291,328,2,28,"01 MEdge Main"
2015-11-20,"Returning Visitor",413,523,1001,45465,150,103,89,1,10,"01 MEdge Main"
2015-11-21,"New Visitor",2285,2285,3781,199011,438,340,398,0,29,"01 MEdge Main"
2015-11-21,"Returning Visitor",429,537,996,53302,158,107,124,2,10,"01 MEdge Main"
2015-11-22,"New Visitor",2298,2298,3885,195486,427,365,407,3,41,"01 MEdge Main"
2015-11-22,"Returning Visitor",461,592,1062,53602,175,98,122,0,14,"01 MEdge Main"
2015-11-23,"New Visitor",2011,2011,3553,181327,372,337,360,2,39,"01 MEdge Main"
2015-11-23,"Returning Visitor",381,458,812,55321,139,72,89,1,7,"01 MEdge Main"
2015-11-24,"New Visitor",1987,1987,3384,168202,370,318,360,4,40,"01 MEdge Main"
2015-11-24,"Returning Visitor",384,476,858,55837,130,78,77,2,11,"01 MEdge Main"
2015-11-25,"New Visitor",2673,2673,4071,230925,460,310,355,2,37,"01 MEdge Main"
2015-11-25,"Returning Visitor",797,930,1520,120724,179,127,117,3,13,"01 MEdge Main"
2015-11-26,"New Visitor",2757,2757,4265,243939,448,320,365,2,43,"01 MEdge Main"
2015-11-26,"Returning Visitor",758,891,1388,107267,189,127,122,1,23,"01 MEdge Main"
2015-11-27,"New Visitor",2790,2790,4520,234451,501,375,492,0,42,"01 MEdge Main"
2015-11-27,"Returning Visitor",526,645,1172,81345,170,119,129,0,11,"01 MEdge Main"
2015-11-28,"New Visitor",3001,3001,4905,245554,557,411,497,6,56,"01 MEdge Main"
2015-11-28,"Returning Visitor",622,769,1427,77738,198,151,144,5,12,"01 MEdge Main"
2015-11-29,"New Visitor",2909,2909,4766,233410,603,420,468,1,45,"01 MEdge Main"
2015-11-29,"Returning Visitor",595,722,1309,64078,202,129,123,3,17,"01 MEdge Main"
2015-11-30,"New Visitor",2304,2304,3887,206488,455,338,401,4,51,"01 MEdge Main"
2015-11-30,"Returning Visitor",442,545,961,49462,179,92,110,0,14,"01 MEdge Main"
2015-12-01,"New Visitor",2011,2011,3424,176397,405,304,345,1,40,"01 MEdge Main"
